"Day","Hour","Metro","scaled"
5,12,"San Francisco",90
5,13,"San Francisco",91.6
5,14,"San Francisco",92
5,15,"San Francisco",90.3
5,16,"San Francisco",100
5,17,"San Francisco",97.8
5,18,"San Francisco",83
5,19,"San Francisco",57.9
5,20,"San Francisco",43.6
5,21,"San Francisco",36.1
5,22,"San Francisco",31.2
5,23,"San Francisco",22.6
6,0,"San Francisco",11.4
6,1,"San Francisco",5.9
6,2,"San Francisco",3
6,3,"San Francisco",0
6,4,"San Francisco",0.2
6,5,"San Francisco",2.5
6,6,"San Francisco",11.1
6,7,"San Francisco",23.4
6,8,"San Francisco",37.7
6,9,"San Francisco",54.6
6,10,"San Francisco",61.1
6,11,"San Francisco",73
6,12,"San Francisco",80.4
6,13,"San Francisco",85.3
6,14,"San Francisco",86.5
6,15,"San Francisco",87.4
6,16,"San Francisco",97.4
6,17,"San Francisco",100
6,18,"San Francisco",87.8
6,19,"San Francisco",61.3
6,20,"San Francisco",45.9
6,21,"San Francisco",39.6
6,22,"San Francisco",36.2
6,23,"San Francisco",25.9
7,0,"San Francisco",18.2
7,1,"San Francisco",9.5
7,2,"San Francisco",5.1
7,3,"San Francisco",0
7,4,"San Francisco",0.5
7,5,"San Francisco",3.1
7,6,"San Francisco",10.6
7,7,"San Francisco",22.2
7,8,"San Francisco",38.1
7,9,"San Francisco",60.8
7,10,"San Francisco",70.2
7,11,"San Francisco",81.9
7,12,"San Francisco",90.5
7,13,"San Francisco",91
7,14,"San Francisco",88
7,15,"San Francisco",91.4
7,16,"San Francisco",97.4
7,17,"San Francisco",100
7,18,"San Francisco",85.9
7,19,"San Francisco",58.9
7,20,"San Francisco",44.9
7,21,"San Francisco",33.3
7,22,"San Francisco",23.5
7,23,"San Francisco",13.3
3,0,"New York",9.3
3,1,"New York",3.3
3,2,"New York",0.1
3,3,"New York",0
3,4,"New York",4.2
3,5,"New York",15.1
3,6,"New York",47
3,7,"New York",83.8
3,8,"New York",85.8
3,9,"New York",70.7
3,10,"New York",58.7
3,11,"New York",60.7
3,12,"New York",66.3
3,13,"New York",72.3
3,14,"New York",77.7
3,15,"New York",96.7
3,16,"New York",100
3,17,"New York",93.9
3,18,"New York",72.3
3,19,"New York",58.1
3,20,"New York",46.4
3,21,"New York",38
3,22,"New York",31.6
3,23,"New York",22.9
4,0,"New York",16.1
4,1,"New York",7.4
4,2,"New York",2.4
4,3,"New York",0
4,4,"New York",1.1
4,5,"New York",4.2
4,6,"New York",14.9
4,7,"New York",26.2
4,8,"New York",33.8
4,9,"New York",43.6
4,10,"New York",49.9
4,11,"New York",65.9
4,12,"New York",84
4,13,"New York",99.7
4,14,"New York",100
4,15,"New York",93.6
4,16,"New York",79.7
4,17,"New York",68.4
4,18,"New York",58.1
4,19,"New York",59
4,20,"New York",68.3
4,21,"New York",66
4,22,"New York",55.7
4,23,"New York",38.3
5,0,"New York",21.4
5,1,"New York",9.4
5,2,"New York",2.7
5,3,"New York",0
5,4,"New York",1.9
5,5,"New York",7.8
5,6,"New York",25.3
5,7,"New York",45.8
5,8,"New York",55.6
5,9,"New York",61.2
5,10,"New York",62.3
5,11,"New York",72.9
5,12,"New York",81.6
5,13,"New York",85.6
5,14,"New York",89.5
5,15,"New York",100
5,16,"New York",96.9
5,17,"New York",91.2
5,18,"New York",70.8
5,19,"New York",56.7
5,20,"New York",44.9
5,21,"New York",38.1
5,22,"New York",33.8
5,23,"New York",25.5
6,0,"New York",14
6,1,"New York",6.6
6,2,"New York",2
6,3,"New York",0
6,4,"New York",1.1
6,5,"New York",3.7
6,6,"New York",15.5
6,7,"New York",33
6,8,"New York",47
6,9,"New York",60.3
6,10,"New York",64.7
6,11,"New York",76.6
6,12,"New York",84.4
6,13,"New York",85.8
6,14,"New York",86
6,15,"New York",98.1
6,16,"New York",100
6,17,"New York",98.6
6,18,"New York",84.2
6,19,"New York",72.1
6,20,"New York",58.4
6,21,"New York",48.7
6,22,"New York",41.4
6,23,"New York",32.2
7,0,"New York",18.9
7,1,"New York",9.2
7,2,"New York",3.2
7,3,"New York",0
7,4,"New York",0.1
7,5,"New York",1.4
7,6,"New York",9.4
7,7,"New York",20.7
7,8,"New York",33.3
7,9,"New York",49.2
7,10,"New York",55.9
7,11,"New York",69.3
7,12,"New York",79.7
7,13,"New York",86.1
7,14,"New York",88.6
7,15,"New York",100
7,16,"New York",97.4
7,17,"New York",87.9
7,18,"New York",67.5
7,19,"New York",55.2
7,20,"New York",45.8
7,21,"New York",32.4
7,22,"New York",20.9
7,23,"New York",10.6
3,0,"Miami",6.2
3,1,"Miami",2.4
3,2,"Miami",0.2
3,3,"Miami",0
3,4,"Miami",2.5
3,5,"Miami",9.2
3,6,"Miami",37.8
3,7,"Miami",79.2
3,8,"Miami",88.7
3,9,"Miami",81.7
3,10,"Miami",70.9
3,11,"Miami",73
3,12,"Miami",76.2
3,13,"Miami",77.2
3,14,"Miami",79.1
3,15,"Miami",94.4
3,16,"Miami",100
3,17,"Miami",97
3,18,"Miami",77.8
3,19,"Miami",56.6
3,20,"Miami",41.2
3,21,"Miami",33.2
3,22,"Miami",26.9
3,23,"Miami",18.9
4,0,"Miami",17.9
4,1,"Miami",7.2
4,2,"Miami",2.1
4,3,"Miami",0
4,4,"Miami",0.9
4,5,"Miami",4.1
4,6,"Miami",18.1
4,7,"Miami",35.4
4,8,"Miami",47.4
4,9,"Miami",62.3
4,10,"Miami",62.9
4,11,"Miami",73.8
4,12,"Miami",81.7
4,13,"Miami",84.1
4,14,"Miami",84.8
4,15,"Miami",99.1
4,16,"Miami",100
4,17,"Miami",95.7
4,18,"Miami",85.2
4,19,"Miami",69
4,20,"Miami",58.4
4,21,"Miami",51.6
4,22,"Miami",45.5
4,23,"Miami",33.2
5,0,"Miami",18.1
5,1,"Miami",8
5,2,"Miami",2
5,3,"Miami",0
5,4,"Miami",2.1
5,5,"Miami",7.7
5,6,"Miami",26
5,7,"Miami",51.8
5,8,"Miami",63.9
5,9,"Miami",75.1
5,10,"Miami",74.5
5,11,"Miami",83
5,12,"Miami",87.9
5,13,"Miami",88.6
5,14,"Miami",88.6
5,15,"Miami",100
5,16,"Miami",98.1
5,17,"Miami",94.7
5,18,"Miami",81.7
5,19,"Miami",67.1
5,20,"Miami",52.8
5,21,"Miami",43.8
5,22,"Miami",37.3
5,23,"Miami",29
6,0,"Miami",15.7
6,1,"Miami",7.1
6,2,"Miami",2
6,3,"Miami",0
6,4,"Miami",0
6,5,"Miami",2.3
6,6,"Miami",16.3
6,7,"Miami",38.7
6,8,"Miami",57.2
6,9,"Miami",76.1
6,10,"Miami",79.4
6,11,"Miami",88.5
6,12,"Miami",91.2
6,13,"Miami",91
6,14,"Miami",88.5
6,15,"Miami",99.6
6,16,"Miami",100
6,17,"Miami",98
6,18,"Miami",89
6,19,"Miami",76.9
6,20,"Miami",60.2
6,21,"Miami",49.4
6,22,"Miami",40.8
6,23,"Miami",31.5
7,0,"Miami",20.8
7,1,"Miami",9.7
7,2,"Miami",3.1
7,3,"Miami",0.4
7,4,"Miami",0
7,5,"Miami",0.7
7,6,"Miami",9.6
7,7,"Miami",23.5
7,8,"Miami",38.7
7,9,"Miami",61.3
7,10,"Miami",68.2
7,11,"Miami",79.7
7,12,"Miami",85.5
7,13,"Miami",86.2
7,14,"Miami",84.7
7,15,"Miami",95
7,16,"Miami",97.2
7,17,"Miami",100
7,18,"Miami",84
7,19,"Miami",60.7
7,20,"Miami",44.4
7,21,"Miami",31.3
7,22,"Miami",23
7,23,"Miami",12.1
3,0,"Atlanta",5.6
3,1,"Atlanta",1.9
3,2,"Atlanta",0.3
3,3,"Atlanta",0
3,4,"Atlanta",2.4
3,5,"Atlanta",11.2
3,6,"Atlanta",37
3,7,"Atlanta",60.8
3,8,"Atlanta",61.6
3,9,"Atlanta",62.1
3,10,"Atlanta",60.9
3,11,"Atlanta",66.7
3,12,"Atlanta",76.3
3,13,"Atlanta",82.6
3,14,"Atlanta",87.2
3,15,"Atlanta",100
3,16,"Atlanta",99.6
3,17,"Atlanta",88
3,18,"Atlanta",65.2
3,19,"Atlanta",49.7
3,20,"Atlanta",38
3,21,"Atlanta",31.2
3,22,"Atlanta",23.4
3,23,"Atlanta",16.5
4,0,"Atlanta",16.4
4,1,"Atlanta",6.4
4,2,"Atlanta",2.1
4,3,"Atlanta",0.5
4,4,"Atlanta",0
4,5,"Atlanta",3.9
4,6,"Atlanta",13.3
4,7,"Atlanta",22.7
4,8,"Atlanta",33.9
